Year,Harvest,April Min T,April Max T,April Wind Speed,april Preci,May Min T,May Max T,May Wind Speed,May Preci,June Min T,June Max T,June Wind Speed,June Preci,July Min T,JulyMax T,July Wind Speed,July Preci,Aug Min T,Aug Max T,Aug Wind Speed,Aug Preci,Sep Min T,Sep Max T,Sep Wind Speed,Sep Preci,Oct Min T,Oct Max T,Oct Wind Speed,Oct Preci,Nov Min T,Nov Max T,Nov Wind Speed,Nov Preci,Dec Min T,Dec Max T,Dec Wind Speed,Dec Preci,Jan Min T,Jan Max T,Jan Wind Speed,Jan Preci,Feb Min T,Feb Max T,Feb Wind Speed,Feb Preci,Mar Min T,Mar Max T,Mar Wind Speed,Mar Preci
2009,5.18,78.57,93,4.27,0,78.71,102.39,6.88,1.2,77.83,96.53,6.91,1.5,79.03,95.48,6.1,3.3,73.19,91.84,6.15,2.5,74.57,92.2,5.45,4.02,69.87,87.32,2.66,3.72,72.23,83.5,3.35,9.67,70.94,84.16,3.25,4.23,70.13,86,3.52,1.04,72,89.71,3.14,0,75.26,92.48,4.38,0
2010,5.67,80,97.27,6.48,0,79.52,100.87,7.37,1.3,82.8,101.23,8.02,0.26,79.58,98.55,8.65,2.28,79,94,6.1,3.63,78.9,96.2,4.52,4.75,78.13,94.29,3.71,1.29,72.73,85.4,3.62,11.46,72.71,82.48,5.54,3.9,70.94,84.19,5.49,0.02,71.86,86.82,5.72,0,75.87,93.26,7.06,0
2011,5.79,79.64,95.36,9.71,0,81.74,98.19,9.56,2.9,80.37,94.8,8.65,2.67,78.55,91.35,7.68,4.37,78.71,91.13,6.84,3.41,78,90.2,6.38,3.67,77.68,90.06,5.87,4.18,74.93,85.83,5.28,4.59,71.74,82.26,5.16,5.78,69.52,84.13,5.98,0.6,70.07,86.29,6.13,1.23,72.9,90.84,6.44,0
2012,7.46,78.47,92.53,7.63,1.04,81.58,100.65,9.58,0.8,82.03,99.03,10.09,2.61,79.94,94.29,8.87,5.39,78.48,92.52,8,6.16,78.2,93.3,7.6,5.59,76.81,89.48,4.43,4.01,73.6,85.77,4.94,10.99,71.29,84.1,5.47,3.94,69.97,84.81,5.07,1.09,70.79,88.09,4.69,0,76.48,93.26,7.13,0
2013,4.05,77.8,96.13,7.97,0.03,84.73,102.77,9.35,0,83.2,100.93,10.45,1.57,74.87,95.23,8.32,2.43,79.13,93.97,8.82,5.37,78.07,92.5,6.49,5.4,76.87,89.58,6.33,6.95,73013,87.63,5.15,0.35,73.06,85.23,5.79,4.93,70.35,85.68,4.25,0,71.68,87.29,6.1,0.27,74.45,91.16,6.92,1.02
2014,5.35,80.17,95.97,9,0.01,82.03,99.58,9.19,1.75,81.23,96.4,9.35,1.49,78.48,92.23,7.65,3.68,77.84,91.97,7.57,0.76,78.07,31.67,6.26,4.99,77.06,89.84,6.14,6.42,73.7,86.1,5.69,4.88,69.87,83.9,6.01,0.99,70.35,84.58,6.29,0.05,69.75,86.61,6.62,0.19,71.52,91.94,7.32,0
2015,5.73,79.67,96.07,7.99,0,81.68,99.1,8.51,0.62,82.3,99.5,8.99,3.48,81.1,95.77,9.49,1.12,78.84,93.68,8.33,5.23,77.69,91.55,7.07,4.87,75.03,89.81,4.85,5.16,74.2,86.23,4.98,4.76,72.87,84.13,5.74,3.99,70.1,84.97,5.25,0.02,71.14,88.18,6.26,0,75.94,91.71,7.04,0
2016,7.5,79.6,94.47,8.27,0.34,82.65,97.97,8.47,0.23,81.6,97.73,9.33,1.64,81.61,99.13,9.41,3.67,79.52,94.9,6.48,5.63,80.37,94.67,7.19,2.18,77,91.94,5.02,3.33,76,85.8,5.43,26.56,73.26,87.23,4.43,8.73,71.58,88.1,4.18,0.05,73.55,89.93,5.01,0,77.58,93.45,5.75,0
2017,2.37,82.23,97.37,8.13,0,83.03,98,7.76,6.04,77.97,95.1,7.15,3.06,77.26,94.26,7.3,2.49,80.52,96.52,7.6,0.64,76.1,93.3,5.97,10.34,77.71,93.68,4.57,0,66,84,4.34,1.83,70.87,85.23,5.7,4.34,70.68,85.68,4.67,0.04,70.86,88.68,4.11,0,78.32,92.87,6.29,0
2018,6.64,82.7,99.03,7.35,0,84.65,102.23,7.65,0,80.77,99.7,9.26,2.69,67.9,96.68,8.26,6.27,76.52,94.06,7.39,5.47,79.7,92.4,6.27,3.71,76.19,91.13,5.7,8.98,76.6,86.17,5.79,15.68,71.1,86.94,5.9,1.1,70.87,86.23,5.2,0,72.18,88.75,5.95,0.05,76.19,93.42,6.8,0.12
2019,6.13,82.57,96.4,8.76,0,8484,99.35,9.53,0,80.8,100,9.54,0.78,77.48,97.39,9.89,3.29,80.52,95.61,8.04,4.8,79.7,93.6,8.02,3.06,77.68,90.13,5.96,4.48,75.97,88,6.25,3.88,73.94,85.71,6.19,2.45,70.1,85.42,6.02,0,74.82,90.18,7.15,0,77.74,94.77,8.19,0
2020,7.17,82.23,98.37,8.43,1.6,85.87,103.26,9.96,2.47,85.77,103.63,9.46,2.5,82.29,98.26,9,3.07,81.65,96.42,9.07,3.23,79.13,92.37,6.74,5.47,77.97,89.29,5.28,6.2,76.87,89.33,5.59,8.64,74.26,85.94,5.78,2.05,72.65,87.16,5.63,0,73.17,89.07,6.79,0.35,76.55,90.87,6.87,0.15
